source,specialty,runs,f1_mean,f1_ci95,f1_n,jaccard_mean,jaccard_ci95,jaccard_n,overlap_mean,overlap_ci95,overlap_n,missed_mean,missed_ci95,missed_n,extra_mean,extra_ci95,extra_n,correct_mean,correct_ci95,correct_n,judge_score_mean,judge_score_ci95,judge_score_n,better_mean,better_ci95,better_n,cost_mean,cost_ci95,cost_n,n_tests_mean,n_tests_ci95,n_tests_n,turns_mean,turns_ci95,turns_n,stopped_ok_mean,stopped_ok_ci95,stopped_ok_n,deliberate_s_mean,deliberate_s_ci95,deliberate_s_n,tokens_mean,tokens_ci95,tokens_n
cpc,Cardiovascular,2,0.432,0.023,2,0.276,0.019,2,5.0,1.96,2,9.0,1.96,2,4.0,5.88,2,100.0,0.0,2,4.0,0.0,2,0.0,0.0,1,815.0,460.6,2,6.5,6.86,2,3.0,0.0,2,100.0,0.0,1,16.6,16.68,2,11243.5,12582.22,2
cpc,GI/Hepatic,6,0.209,0.189,6,0.133,0.122,6,5.833,5.46,6,22.667,13.865,6,4.167,3.096,6,83.333,29.82,6,4.167,0.602,6,100.0,0.0,3,1440.0,513.979,6,6.167,4.704,6,3.0,0.716,6,100.0,0.0,1,13.317,8.36,6,7518.333,5494.41,6
cpc,Infectious,27,0.243,0.053,27,0.145,0.034,27,6.778,1.773,27,28.259,2.298,27,8.444,2.93,27,88.889,11.854,27,4.37,0.379,27,91.667,15.638,12,2406.667,689.392,27,12.926,3.446,27,4.852,0.873,27,100.0,0.0,9,30.402,9.28,27,19493.444,9429.996,27
cpc,Neurology,9,0.286,0.165,9,0.191,0.12,9,7.111,4.412,9,27.222,9.004,9,7.889,2.78,9,100.0,0.0,9,4.667,0.327,9,100.0,0.0,5,2555.556,783.871,9,10.889,2.742,9,4.111,0.606,9,100.0,0.0,3,21.958,6.136,9,15003.889,5470.438,9
cpc,Onc/Heme,20,0.215,0.071,20,0.129,0.047,20,4.05,1.773,20,16.9,4.816,20,7.2,1.999,20,85.0,15.649,20,4.15,0.518,20,90.0,18.594,10,2907.5,802.171,20,10.45,2.874,20,4.6,0.717,20,100.0,0.0,7,21.777,6.758,20,14332.65,6473.738,20
cpc,Other,74,0.178,0.037,71,0.107,0.024,71,4.282,1.082,71,25.479,2.022,71,6.986,1.072,71,75.676,9.775,74,4.351,0.268,74,89.286,11.456,28,1754.054,330.597,74,9.324,1.435,74,4.054,0.39,74,100.0,0.0,24,20.385,3.907,74,11540.5,2306.317,74
cpc,Pulmonary,2,0.128,0.15,2,0.07,0.086,2,6.0,7.84,2,68.0,7.84,2,8.5,10.78,2,0.0,0.0,2,2.0,0.0,2,,,0,2670.0,1117.2,2,11.5,12.74,2,5.5,0.98,2,100.0,0.0,1,27.555,11.515,2,13084.0,4159.12,2
cpc,Renal,1,0.364,0.0,1,0.222,0.0,1,10.0,0.0,1,32.0,0.0,1,3.0,0.0,1,100.0,0.0,1,4.0,0.0,1,100.0,0.0,1,890.0,0.0,1,5.0,0.0,1,5.0,0.0,1,100.0,0.0,1,17.13,0.0,1,8606.0,0.0,1
cpc,Rheum/Immune,9,0.227,0.116,9,0.139,0.082,9,4.778,2.918,9,16.889,2.78,9,13.556,6.285,9,100.0,0.0,9,4.667,0.327,9,60.0,42.941,5,4321.111,1953.014,9,17.889,6.762,9,6.667,1.666,9,100.0,0.0,3,49.929,21.442,9,32586.778,13576.87,9
mimic,Cardiovascular,13,0.714,0.034,13,0.559,0.041,13,20.846,1.486,13,7.308,1.822,13,9.769,1.846,13,,,0,,,0,92.308,14.485,13,1528.462,444.462,13,15.0,2.4,13,5.0,0.628,13,,,0,27.767,11.222,13,18646.615,9373.571,13
